Text,Code,libertad_personal_score,libertad_economica_score,text_processed
Propuestas,,0,0,propuesta
"Ofrecemos a la sociedad española e invitaremos a todos a un Consenso que permita fortalecer el marco de convivencia constitucional,",202,0,0,ofrecer sociedad español invitaremos consenso permitir fortalecer marco convivencia constitucional
"dar estabilidad al modelo territorial,",203,0,0,dar estabilidad modelo territorial
derrotar al terrorismo y,605,0,0,derrotar terrorismo
fijar la política exterior de España.,107,0,0,fijar política exterior españa
La reforma de la Constitución,,0,0,reforma constitución
Principios,,0,0,principio
"España es una Nación con más de cinco siglos de historia,",601,0,0,españa nación cinco siglo historio
una realidad política incuestionable y,601,0,0,realidad político incuestionable
un proyecto común de libertad y solidaridad que se construye día a día.,601,0,0,proyecto común libertad solidaridad construir día día
"Concebimos España en positivo, como una Nación que aspira ilusionada a un futuro de bienestar y oportunidades en el mundo globalizado.",601,0,0,concebir españa positivo nación aspirar ilusionado futuro bienestar oportunidad mundo globalizado
La Nación es la garantía de la libertad y de la igualdad de todos los españoles en derechos y obligaciones.,601,0,0,nación garantir libertad igualdad español derecho obligación
Nuestros derechos derivan de la Constitución y de nuestra condición común de ciudadanos.,203,0,0,derecho derivar constitución condición común ciudadano
"Nacer en un territorio u otro, tener una u otra seña de singularidad cultural, lingüística o institucional no debe conllevar ningún privilegio.",503,1,-1,nacer territorio u tener u seño singularidad cultural lingüístico institucional no deber conllevar ninguno privilegio
"En nuestra condición de ciudadanos, todos y en términos de igualdad, formamos parte del sujeto titular de la soberanía.",202,0,0,condición ciudadano término igualdad formar parte sujeto titular soberanir
"Todos conjuntamente, y en igualdad, tenemos el derecho de ejercer ese poder soberano para decidir nuestro futuro.",606,0,0,conjuntamente igualdad derecho ejercer poder soberano decidir futuro
"Ningún territorio, ninguna parte de la población están legitimados para privar de ese poder de decisión al conjunto de los españoles.",606,0,0,ninguno territorio ninguno parte población legitimado privar poder decisión conjunto español
Desafíos,,0,0,desafío
"Qué es España y cómo se organiza, ha de ser decisión de los españoles.",601,0,0,españa cómo organizar ser decisión español
Nadie puede hurtar a los legítimos dueños de la soberanía la capacidad de decidir lo que son o lo que quieren ser en el futuro.,202,0,0,nadie poder hurtar legítir dueño soberanir capacidad decidir querer ser futuro
Sin libertad no hay democracia.,201,0,0,libertad no democracia
"La libertad es el bien más preciado del individuo, lo que le hace dueño de su propia vida.",201,0,0,libertad bien preciado individuo hacer dueño propio vida
Defender la libertad es la primera obligación de los Estados democráticos pero también la garantía de su permanencia.,202,0,0,defender libertad primero obligación democrático garantía permanencia
Defender la libertad es combatir con toda la fuerza del Estado de Derecho a quienes la desprecian o la ponen en entredicho.,202,0,0,defender libertad combatir todo fuerza derecho despreciar poner entredicho
Objetivos,,0,0,objetivo
Defendemos la libertad individual frente a las intromisiones de los poderes públicos o,401,0,1,defendemo libertad individual frente intromisión poder público
frente a quienes quieren imponer un modelo concreto de sociedad.,401,0,1,frente querer imponer modelo concreto sociedad
La libertad individual se expresa en la capacidad de decidir cada día nuestras opciones de vida bajo la garantía de la ley y del Estado de Derecho.,401,0,1,libertad individual expresar capacidad decidir cada día opción vido bajo garantía ley derecho
Defendemos la igualdad de oportunidades y,503,1,-1,defendemo igualdad oportunidad
"creemos en el mérito y la capacidad como los principios que permiten a los ciudadanos, con independencia de su procedencia, alcanzar sus metas personales.",606,0,0,creer mérito capacidad principio permitir ciudadano independencio procedencia alcanzar meta personal
Nuestra nación es un proyecto solidario.,606,0,0,nación proyecto solidario
Nuestro Estado es la garantía de la igualdad de derechos y de oportunidades para construir un sistema más justo.,202,0,0,garantir igualdad derechos oportunidad construir sistema justo
"Debemos garantizar la existencia de un Estado viable, con capacidad para tutelar nuestros derechos, nuestra igualdad y nuestra solidaridad.",202,0,0,deber garantizar existencia viable capacidad tutelar derechos igualdad solidaridad
"España ha de estar dotada de un Estado capaz de vertebrar un proyecto compartido,",303,0,0,españa dotado capaz vertebrar proyecto compartido
abordar las reformas que precisa una realidad cada día más cambiante y,303,0,0,abordar reforma preciso realidad cada día cambiante
diseñar de forma eficaz políticas que respondan al interés general.,303,0,0,diseñar forma eficaz política responder interés general
"España necesita una voz potente y firme en el mundo para desempeñar un papel activo en el exterior,",601,0,0,españa necesitar voz potente firme mundo desempeñar papel activo exterior
para defender nuestros intereses nacionales y,601,0,0,defender interés nacional
proyectar nuestra lengua común y nuestra cultura.,601,0,0,proyectar lengua común cultura
Es necesario asegurar la estabilidad del modelo constitucional.,203,0,0,necesario asegurar estabilidad modelo constitucional
"Queremos garantizar la plena vigencia de los valores constitucionales, especialmente el espíritu de acuerdo y la concordia,",203,0,0,querer garantizar pleno vigencia valor constitucional especialmente espíritu acuerdo concordia
"los principios de unidad, igualdad y solidaridad que enmarcan nuestro Estado de las Autonomías.",203,0,0,principio unidad igualdad solidaridad enmarcir autonomía
"No se trata de modificar radicalmente el diseño actual, sino de introducir en éste reformas que aseguren la viabilidad del Estado y preserven en él los elementos comunes del sistema.",203,0,0,no tratar modificar radicalmente diseño actual sino introducir este reforma asegurar viabilidad preservir elemento común sistema
Algo que debe hacerse con un respeto escrupuloso al proceso de descentralización consolidado y,301,0,0,deber hacer él respeto escrupuloso proceso descentralización consolidado
al derecho a la autonomía de las nacionalidades y regiones.,301,0,0,derecho autonomía nacionalidad región
Propuestas,,0,0,propuesta
Proponemos a los españoles y al resto de los partidos políticos una reforma de la Constitución desde la lealtad a los valores del pacto constitucional.,203,0,0,proponer español resto partido político reforma constitución lealtad valor pacto constitucional
"Planteamos una reforma limitada, de contornos precisos, que no afecte a los pilares de nuestro sistema sino que los refuerce,",303,0,0,plantear reforma limitado contorno preciso no afectar pilar sistema sino reforzar
y que no requiera un procedimiento agravado de revisión constitucional.,303,0,0,no requerir procedimiento agravado revisión constitucional
Esta reforma tendrá como ejes básicos: garantizar la estabilidad del Estado de las Autonomías;,301,0,0,reforma eje básico garantizar estabilidad autonomía
"dotar al Estado de los instrumentos necesarios para garantizar la igualdad de los españoles en derechos, deberes y oportunidades;",202,0,0,dotar instrumento necesario garantizar igualdad español derecho deber oportunidad
establecer los mecanismos que aseguren el consenso y reforzar la calidad de nuestra democracia.,202,0,0,establecer mecanismo asegurir consenso reforzar calidad democracia
Garantizar la estabilidad del Estado de las Autonomías.,301,0,0,garantizar estabilidad autonomía
"Fijaremos un núcleo básico de competencias indelegables por el Estado,",302,0,0,fijar núcleo básico competencia indelegabl
así como la capacidad de las Cortes Generales para llevar a cabo reformas que requieren por su naturaleza un tratamiento común en el conjunto del Estado.,202,0,0,así capacidad cortes general llevar cabo reforma requerir naturaleza tratamiento común conjunto
Las competencias exclusivas del Estado a las que se refiere el artículo 149.1 CE se declararán irrenunciables e intransferibles.,302,0,0,competencia exclusivo referir artículo ce declarar irrenunciabl intransferibl
"En particular: la política exterior, defensa y seguridad (con coordinación efectiva de las Fuerzas y Cuerpos de seguridad autonómicos),",302,0,0,particular política exterior defensa seguridad coordinación efectivo fuerzas cuerpos seguridad autonómico
"la ordenación general de la economía, en especial, la garantía de la unidad de mercado,",302,0,0,ordenación general economía especial garantía unidad mercado
"la ordenación general del crédito y la banca,",302,0,0,ordenación general crédito banco
"o la coordinación de la gestión de crisis, entre otras (artículo 149 y 93 CE).",302,0,0,coordinación gestión crisis artículo ce
Y la prevalencia del derecho estatal en las competencias exclusivas (artículo 149.3 CE).,302,0,0,prevalencia derecho estatal competencia exclusivo artículo ce
"Se definirá con precisión la competencia legislativa del Estado para acometer reformas que exigen por su naturaleza un tratamiento común en el conjunto del territorio del Estado, como es el caso de la propia ordenación territorial, el urbanismo o la inmigración (artículo 194.1 CE).",302,0,0,definir precisión competencia legislativo acometer reforma exigir naturaleza tratamiento común conjunto territorio caso propio ordenación territorial urbanismo inmigración artículo ce
La regulación de la enseñanza de la lengua oficial del Estado será competencia exclusiva de las Cortes Generales a través de una ley orgánica que establecerá las garantías de su enseñanza y uso en todos los grados docentes y académicos en toda España.,302,0,0,regulación enseñanzo lengua oficial competencia exclusivo corte general través ley orgánico establecer garantía enseñanzar uso grado docente académico todo españa
Esta ley garantizará igualmente el bilingüismo en las Comunidades Autónomas con lengua cooficial.,607,0,0,ley garantizar igualmente bilingüismo comunidad autónomo lengua cooficial
"Se modificará el artículo 150.2 de la Constitución, reduciéndolo a supuestos tasados de delegación del ejercicio de facultades.",302,0,0,modificar artículo constitución reduciéndolo supuesto tasado delegación ejercicio facultades
La aprobación final de la Ley de delegación requerirá mayoría de 2/3 en el Congreso de los Diputados.,202,0,0,aprobación final ley delegación requerir mayoría congreso diputados
Se garantizará la unidad de la acción exterior del Estado y que la representación internacional del Estado corresponda únicamente al Gobierno de la Nación.,302,0,0,garantizar unidad acción exterior representación internacional correspondar únicamente gobierno nación
La cooperación internacional y la proyección exterior de las Administraciones territoriales deberá sujetarse a la coordinación efectiva del Gobierno de la Nación y,302,0,0,cooperación internacional proyección exterior administración territorial deber sujetar él coordinación efectivo gobierno nación
"se canalizará, en exclusiva, a través del servicio exterior del Estado.",302,0,0,canalizar exclusivo través servicio exterior
La coordinación de los asuntos y materias que se deciden en la Unión Europea tendrán un procedimiento especial de carácter participativo cuando resulten afectadas las competencias de las Comunidades Autónomas (artículo 93 CE).,202,0,0,coordinación asuntos materias decidir unión europeo procedimiento especial carácter participativo resultir afectado competencia comunidad autónomo artículo ce
"Se concretará constitucionalmente el objeto y contenido de los Estatutos de Autonomía,",203,0,0,concretar constitucionalmente objeto contenido estatuto autonomío
así como la actualización de sus procedimientos de reforma (artículo 147 CE).,203,0,0,así actualización procedimiento reforma artículo ce
"Se revitalizará la autonomía de las Corporaciones Locales, a fin de que se conviertan en el tercer pilar de la Administración territorial por medio de la constitucionalización de la existencia de un Estatuto del Gobierno Local, mediante una norma de rango orgánico que garantice la relación directa con el Estado (artículo 137 CE).",301,0,0,revitalizar autonomía corporación local fin convertir tercer pilar administración territorial medio constitucionalización existencia estatuto gobierno local mediante norma rango orgánico garantizar relación directo artículo ce
"Dotar al Estado de los instrumentos necesarios para garantizar la igualdad de los españoles en derechos, deberes y oportunidades y la solidaridad entre territorios.",202,0,0,dotar instrumento necesario garantizar igualdad español derecho deber oportunidad solidaridad territorio
Se constitucionalizarán expresamente los siguientes principios como articuladores del sistema autonómico:,,0,0,constitucionalizacer expresamente siguiente principio articuladores sistema autonómico
-Lealtad constitucional (artículo 139 CE).,203,0,0,lealtad constitucional artículo ce
"-Coordinación, cooperación y colaboración entre las Administraciones Públicas en el ejercicio de competencias compartidas y concurrentes (artículo 145 CE).",203,0,0,coordinación cooperación colaboración administración público ejercicio competencia compartido concurrent artículo ce
-Unidad de mercado estableciendo los mecanismos precisos para su salvaguarda (artículo 139.2 CE).,203,0,0,unidad mercado establecer mecanismo preciso salvaguardar artículo ce
Se garantizarán las competencias de las Cortes Generales en materias esenciales para garantizar la igualdad de los españoles:,,0,0,garantizar competencia cort general materia esencial garantizar igualdad español
-En el ejercicio de los derechos y en el cumplimiento de los deberes fundamentales.,302,0,0,ejercicio derechos cumplimiento deber fundamental
-En la recepción de las prestaciones sanitarias y sociales básicas.,302,0,0,recepción prestación sanitario social básico
-En el disfrute y distribución de los recursos naturales.,302,0,0,disfrutir distribución recurso natural
"-En la distribución de los recursos presupuestarios (artículos 134, 138 y 149 CE).",302,0,0,distribución recurso presupuestario artículo ce
Se garantizará la unidad e independencia del Poder Judicial y la naturaleza estatal de su organización territorial.,202,0,0,garantizar unidad independenciar poder judicial naturaleza estatal organización territorial
Se constitucionalizará la atribución al Tribunal Supremo del recurso de casación que garantiza la igualdad de los españoles en la aplicación de la ley (artículo 123 CE).,203,0,0,constitucionalizacer atribución tribunal supremo recurso casación garantizar igualdad español aplicación ley artículo ce
Recuperar y garantizar el consenso que guió la Transición en los grandes asuntos de Estado.,606,0,0,recuperar garantizar consenso guiar transición grande asunto
Se elevará a 2/3 la mayoría necesaria en las Cortes Generales para modificar los Estatutos de Autonomía (artículo 81 CE).,302,0,0,elevar mayoría necesario corte general modificar estatuto autonomiar artículo ce
"Se incrementará la mayoría necesaria (3/5) para aprobar las Leyes que regulan los órganos constitucionales del Estado como el Tribunal Constitucional y el Consejo General del Poder Judicial (artículos 81, 122 y 165 CE).",303,0,0,incrementar mayoría necesario aprobar ley regular órgano constitucional tribunal constitucional consejo general poder judicial artículo ce
